lang,domain,question,correct_answer,llama31_response,llama33_response,wiki_evidence,similarity_score,hallucination_label,llama31_score,llama33_score,llama31_label,llama33_label,llama31_label_v2,llama31_score_v2,llama33_label_v2,llama33_score_v2,llama31_label_v3,llama31_score_v3,llama31_method_v3,llama33_label_v3,llama33_score_v3,llama33_method_v3
Hindi,History,भारत को स्वतंत्रता किस वर्ष मिली?,1947,15 अगस्त 1947,1947,"1947 (MCMXLVII) was a common year starting on Wednesday of the Gregorian calendar, the 1947th year of the Common Era (CE) and Anno Domini (AD) designations, the 947th  year of the 2nd millennium, the 47th  year of the 20th century, and the  8th   year of the 1940s decade.  
It was the first year of the Cold War, which would last until 1991, ending with the dissolution of the Soviet Union.",,,0.421,0.4837,HALLUCINATED,HALLUCINATED,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
Hindi,History,भारतीय राष्ट्रीय कांग्रेस की स्थापना किस वर्ष हुई?,1885,1885,1885,"1885 (MDCCCLXXXV) was a common year starting on Thursday of the Gregorian calendar and a common year starting on Tuesday of the Julian calendar, the 1885th year of the Common Era (CE) and Anno Domini (AD) designations, the 885th  year of the 2nd millennium, the 85th  year of the 19th century, and the  6th   year of the 1880s decade. As of the start of 1885, the Gregorian calendar was 12 days ahead of the Julian calendar, which remained in localized use until 1923.",,,0.5,0.5,UNCERTAIN,UNCERTAIN,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
Hindi,History,जलियाँवाला बाग हत्याकांड किस वर्ष हुआ?,1919,1919,1919,"1919 (MCMXIX) was a common year starting on Wednesday of the Gregorian calendar and a common year starting on Tuesday of the Julian calendar, the 1919th year of the Common Era (CE) and Anno Domini (AD) designations, the 919th  year of the 2nd millennium, the 19th  year of the 20th century, and the  10th  and last year of the 1910s decade. As of the start of 1919, the Gregorian calendar was 13 days ahead of the Julian calendar, which remained in localized use until 1923.",,,0.4538,0.4538,HALLUCINATED,HALLUCINATED,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
Hindi,History,भारत का पहला प्रधानमंत्री कौन था?,Jawaharlal Nehru,जवाहरलाल नेहरू,जवाहरलाल नेहरू,"Jawaharlal Nehru (14 November 1889 – 27 May 1964) was an Indian anti-colonial nationalist, secular humanist, social democrat, and statesman who was a central figure in India during the middle of the 20th century. Nehru was a principal leader of the Indian nationalist movement in the 1930s and 1940s. Upon India's independence in 1947, he served as the country's first and the longest serving prime minister for 16 years. Nehru promoted parliamentary democracy, secularism, and science and technology during the 1950s, powerfully influencing India's arc as a modern nation. In international affairs, he steered India clear of the two blocs of the Cold War.  A well-regarded author, he wrote books such as Letters from a Father to His Daughter (1929), An Autobiography (1936) and The Discovery of India (1946), that have been read around the world.
The son of Motilal Nehru, a prominent lawyer and Indian nationalist, Jawaharlal Nehru was educated in England—at Harrow School and Trinity College, Cambridge, and trained in the law at the Inner Temple. He became a barrister, returned to India, enrolled at the Allahabad High Court and gradually became interested in national politics, which eventually became a full-time occupation. He joined the Indian National Congress, rose to become the leader of a progressive faction during the 1920s, and eventually of the Congress, receiving the support of Mahatma Gandhi, who was to designate Nehru as his political heir. As Congress president in 1929, Nehru",,,0.5137,0.5137,UNCERTAIN,UNCERTAIN,UNCERTAIN,0.5137,UNCERTAIN,0.5137,FACTUAL,0.9,translated_match,FACTUAL,0.9,translated_match
Hindi,History,महात्मा गांधी का जन्म किस वर्ष हुआ?,1869,1869,1869,"1869 (MDCCCLXIX) was a common year starting on Friday of the Gregorian calendar and a common year starting on Wednesday of the Julian calendar, the 1869th year of the Common Era (CE) and Anno Domini (AD) designations, the 869th  year of the 2nd millennium, the 69th  year of the 19th century, and the  10th  and last year of the 1860s decade. As of the start of 1869, the Gregorian calendar was 12 days ahead of the Julian calendar, which remained in localized use until 1923.",,,0.5101,0.5101,UNCERTAIN,UNCERTAIN,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
Hindi,Geography,भारत की राजधानी क्या है?,New Delhi,नई दिल्ली,नई दिल्ली,"New Delhi is the capital city of India and a part of the National Capital Territory of Delhi (NCT). New Delhi is the seat of all three branches of the Government of India, hosting the Rashtrapati Bhavan (Presidential Palace), Sansad Bhavan (Parliament House), and the Supreme Court. New Delhi is a municipality within the NCT, administered by the New Delhi Municipal Council (NDMC), which covers mostly Lutyens' Delhi and a few adjacent areas. The municipal area is part of a larger administrative district, the New Delhi district.
Although colloquially Delhi and New Delhi are used interchangeably to refer to the National Capital Territory of Delhi, both are distinct entities, with the municipality and the New Delhi district forming a relatively small part within the megacity of Delhi. The National Capital Region is an even larger entity, comprising the entire NCT along with adjoining districts in the two neighbouring states forming a continuously built-up area with it, including Ghaziabad, Noida, Greater Noida, Meerut, YEIDA City, Gurgaon, and Faridabad.
The foundation stone of New Delhi, south of central Delhi, was laid by George V during the Delhi Durbar of 1911. It was designed by British architects Edwin Lutyens and Herbert Baker. The new capital was inaugurated on 13 February 1931, by Viceroy and Governor-General Irwin.",,,0.4357,0.4357,HALLUCINATED,HALLUCINATED,HALLUCINATED,0.4357,HALLUCINATED,0.4357,FACTUAL,0.9,translated_match,FACTUAL,0.9,translated_match
Hindi,Geography,भारत की सबसे लंबी नदी कौन सी है?,Ganga,गंगा नदी,गंगा,"The Ganges ( GAN-jeez; in India: Ganga,  GUNG-gah; in Bangladesh: Padma,  PUD-mə) is a trans-boundary river of Asia which flows through India and Bangladesh. The 2,525-kilometre-long (1,569 mi) river rises in the western Himalayas in the Indian state of Uttarakhand. It flows south and east through the Gangetic plain of North India, receiving the right-bank tributary, the Yamuna, which also rises in the western Indian Himalayas, and several left-bank tributaries from Nepal that account for the bulk of its flow. In West Bengal, India, a feeder canal taking off from its right bank diverts half of its flow southwards, artificially connecting it to the Hooghly River. The Ganges continues into Bangladesh, its name changing to the Padma. It is then joined by the Jamuna, the lower stream of the Brahmaputra, and eventually the Meghna, forming the major estuary of the Ganges Delta, and emptying into the Bay of Bengal. The Ganges–Brahmaputra–Meghna system is the second-largest river on earth by discharge.
The main stem of the Ganges begins at the town of Devprayag, at the confluence of the Alaknanda, which is the source stream in hydrology on account of its greater length, and the Bhagirathi, which is considered the source stream in Hindu mythology.
The Ganges is a lifeline to hundreds of millions of people who live in its basin and depend on it for their daily needs. It has been important historically, with many former provincial or imperial capitals such as Pataliputra, Kannauj, Sonar",,,0.5105,0.4192,UNCERTAIN,HALLUCINATED,UNCERTAIN,0.5105,HALLUCINATED,0.4192,UNCERTAIN,0.5105,similarity,HALLUCINATED,0.4192,similarity
Hindi,Geography,भारत का सबसे बड़ा राज्य कौन सा है?,Rajasthan,राजस्थान भारत का सबसे बड़ा राज्य है।,राजस्थान,"Rajasthan (Hindi: Rājasthāna, pronounced [ɾaːd͡ʒəsˈtʰaːn] ; lit. 'Land of Kings') is a state in northwestern India. It is the largest Indian state by area and the seventh largest by population. It covers 342,239 square kilometres (132,139 mi2) or 10.4 per cent of India's total geographical area. It is on India's northwestern side, where it comprises most of the wide and inhospitable Thar Desert (also known as the Great Indian Desert) and shares a border with the Pakistani provinces of Punjab to the northwest and Sindh to the west, along the Sutlej-Indus River valley. It is bordered by five other Indian states: Punjab to the north; Haryana and Uttar Pradesh to the northeast; Madhya Pradesh to the southeast; and Gujarat to the southwest. Its geographical location is 23°3' to 30°12' North latitude and 69°30' to 78°17' East longitude, with the Tropic of Cancer passing through its southernmost tip.
Its major features include the ruins of the Indus Valley civilisation at Kalibangan and Balathal, the Dilwara Temples, a Jain pilgrimage site at Rajasthan's only hill station, Mount Abu, in the ancient Aravalli mountain range and eastern Rajasthan, the Keoladeo National Park of Bharatpur, a World Heritage Site known for its bird life. Rajasthan is also home to five national tiger reserves, the Ranthambore National Park in Sawai Madhopur, Sariska Tiger Reserve in Alwar, the Mukundra Hills Tiger Reserve in Kota, Ramgarh Vishdhari Tiger reserve and Karauli Dholpur tiger reserve.
The State ",,,0.6327,0.4822,UNCERTAIN,HALLUCINATED,UNCERTAIN,0.6327,HALLUCINATED,0.4822,FACTUAL,0.9,translated_match,FACTUAL,0.9,translated_match
Hindi,Geography,माउंट एवरेस्ट की ऊंचाई कितनी है?,8848 metres,"माउंट एवरेस्ट की ऊंचाई 8,848.86 मीटर है।",8848.86 मीटर,NOT_FOUND:8848 metres,,,-1.0,-1.0,UNVERIFIABLE,UNVERIFIABLE,UNVERIFIABLE,-1.0,FACTUAL,0.95,UNVERIFIABLE,-1.0,no_evidence,FACTUAL,0.95,numeric_match
Hindi,Geography,भारत के कितने राज्य हैं?,28,भारत में 28 राज्य और 8 केंद्र शासित प्रदेश हैं।,28,"28 or Twenty-eight may refer to:

28 (number), the natural number following 27 and preceding 29.
one of the years 28 BC, AD 28, 1928, 2028",,,0.4219,0.3653,HALLUCINATED,HALLUCINATED,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
